Product Name,Specification,Price
"HP EliteBook 660 G11 16"" FHD AG 300nits Touch Business Laptop",Intel Core U7-155U - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,176.34"
"HP EliteBook 830 G11 13.3"" FHD AG 400nits Business Laptop",Intel Core U5-135U - vPro - 16GB RAM - 256GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,232.36"
"HP EliteBook 640 G11 14"" WUXGA Touch Laptop",Intel U5-125U - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y Onsite Warranty,"2,641.30"
"ASUS ExpertBook B1 B1402CVA-NK0780X 14"" FHD Intel Core i5-1335U - 16GB RAM - 256GB SSD - Win 11 Pro",- AX WiFi 6E + BT5.3 - Webcam - USB-C - HDMI1.4 - 1Y Warranty,"1,433.94"
"HP EliteBook 860 G11 16"" FHD Touch AG 300nits Business Laptop",Intel Core U7-165H - vPro - 32GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"3,759.35"
"Dell Latitude 5000 Series 5450 Business Laptop 14"" FHD",Intel Core Ultra 7 155U - 32GB RAM - 2TB SSD - Win 11 Pro - 1Y PB Warranty,"3,049.80"
"HP EliteBook 840 G11 Business Laptop 14"" FHD AG 300nits",Intel Core Ultra 5-125U - 16GB RAM - 256GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,705.65"
"HP EliteBook 840 G10 Business Laptop 14"" WUXGA",Intel Core i5-1335U - 32GB RAM - 1TB SSD - Win 11 Pro - AX WiFi 6E vPro + BT5.3 - 3Y NBD Onsite Warranty,"2,459.91"
"HP ProBook 460 G11 Business Laptop 16"" WUXGA Touch",Intel Core Ultra 5 125H - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,185.00"
"HP EliteBook x360 1040 G11 14"" FHD AG 400nits Touch 4G/LTE Business Laptop",Intel Core U5-135H - vPro - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - with Wacom Pen - 3Y NBD Onsite Warranty,"2,998.79"
"Apple Macbook Pro 16"" Laptop with M3 Max Chip - Space Black",48GB Unified Memory - 1TB SSD - 16-Core CPU - 40-Core GPU - 16-inch Liquid Retina XDR Display - 140W USB-C Power Adapter,"6,599.00"
"HP EliteBook x360 1040 G11 14"" FHD AG 400nits Business Laptop Touchscreen",Intel Core U7-165H - vPro - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - with Wacom Pen - 3Y NBD Onsite Warranty,"3,011.48"
"Dell Latitude 3000 Series 3450 Business Laptop 14"" FHD AG",Intel Core i7-1355U - 16GB RAM - 512GB SSD - Win 11 Pro - WiFi+BT - 1Y Basic Onsite Warranty,"1,987.90"
"Apple MacBook Air 15"" Laptop with M3 Chip - Space Grey",16GB Unified Memory - 256GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,255.00"
"HP ZBook Power G11 LTE Mobile Workstation 16"" QHD 400nits",AMD Ryzen 9 Pro 8945HS - 32GB RAM - 1TB SSD - RTX 3000 Ada - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"5,062.30"
"HP ZBook Power G11 Mobile Workstation 16"" FHD Touch",AMD Ryzen 7 Pro 8845HS - 32GB RAM - 1TB SSD - NVIDIA RTX 2000 Ada - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"3,790.39"
